,Unnamed: 0,id,text,created_at,lang,source,name,screen_name,bio,us_created_at,followers_count,friends_count,statuses_count,favourites_count,country,country_code,locality,region,sub_region,coordinates,gender_pred,gender,text_pp,sentiment
179,179,1611871128850415616,"El hospital de Fray Bentos siendo el hospital de Fb, Cuatro días yendo y viniendo con la nena con vomito y fiebre, una dr CUBANA se puso mi hija al hombro xq si era por estos me mandaban de nuevo a casa! Bien dicen que los mejores médicos son Cubanos 👏🏽👏🏽",2023-01-07T23:43:18+00:00,es,twitter,𝔸𝕕𝕣𝕚 𝕊No mNo mNo mNo mNo matchtchtchtchtch𝕟𝕥𝕠𝕤🌴 ,@PisciNo mNo mNo mNo matchtchtchtchnNo mNo mNo mNo matchtchtchtchAs,"Rᴜғɪɴᴀ ❤︎
𝑆𝑖𝑛 𝑝𝑟𝑖𝑠𝑎, 𝑝𝑒𝑟𝑜 𝑠𝑖𝑛 𝑝𝑎𝑢𝑠𝑎❁
ᵖⁱˢᶜⁱᵃⁿᵃ❣︎",2013-10-04T18:25:24+00:00,1029,928,16397,18988,Uruguay,UY,,Río Negro,,"-32.75, -57.33333",1,Woman,"El hospital de Fray Bentos siendo el hospital de Fb, Cuatro días yendo y viniendo con la nena con vomito y fiebre, una dr cubana se puso mi hija al hombro xq si era por estos me mandaban de nuevo a casa! Bien dicen que los mejores médicos son Cubanos  EMOJI ",negative
180,180,1611859591033421825,Nauseas salgan de este cuerpo,2023-01-07T22:57:28+00:00,es,twitter,SonrisNo mNo mNo mNo mNo matchtchtchtchtchEternNo mNo mNo mNo mNo matchtchtchtchtch🦋,@KNo mNo mNo mNo matchtchtchtchrenPlNo mNo mNo mNo matchtchtchtchnell,"Club Nacional de Fútbol/
Club Atlético Huracán",2018-10-02T05:34:21+00:00,496,295,3948,5290,Uruguay,UY,Treinta y Tres,Treinta y Tres,,"-33.23333, -54.38333",1,Woman,Nauseas salgan de este cuerpo,negative
181,181,1611853932292182016,"@amargalamina Si.
Antes vomito. Luego si, a la camucha.",2023-01-07T22:34:58+00:00,es,twitter,JACK TORRANCE_Lic.En CosNo mNo mNo mNo mNo matchtchtchtchtchs⬆️,@LNo mNo mNo mNo matchtchtchtchMoscNo mNo mNo mNo matchtchtchtchFliesunumbers,"Soy importante pero no acá.
Fanáticos termos NO! 
U2,Peñarol,Nicholson,MonoJack,GIFS y cosas, SI!
  😎",2021-12-31T11:43:47+00:00,1106,1616,44107,66185,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,"Si. Antes vomito. Luego si, a la camucha.",negative
182,182,1611850914821799939,"no paro de vomitar, ojalá altas probabilidades de embarazo",2023-01-07T22:22:59+00:00,es,twitter,No mNo mNo mNo mNo matchtchtchtchtchgu,@elkevinNo mNo mNo mNo matchtchtchtchgustin,,2017-08-08T00:42:52+00:00,2531,81,10290,6806,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"no paro de vomitar, ojalá altas probabilidades de embarazo",negative
183,183,1611843573410041856,No puede ser que pase todo el día con ganas de vomitar loco🙄 el tercer día ya🤦🏻‍♀️,2023-01-07T21:53:49+00:00,es,twitter,🇳🇱ναℓєηη🇳🇱,@midon_vNo mNo mNo mNo matchtchtchtchlen,"❤🤍💙

❤️💛

🐝👩🏻‍🏫",2021-11-26T19:30:34+00:00,174,443,4507,6374,Uruguay,UY,Salto,Salto,,"-31.38333, -57.96667",2,Man,No puede ser que pase todo el día con ganas de vomitar loco EMOJI  el tercer día ya EMOJI ‍♀️,negative
184,184,1611831364168433664,y cn ganas d vomitar https://t.co/THRh25VzGu,2023-01-07T21:05:18+00:00,es,twitter,tNo mNo mNo mNo mNo matchtchtchtchtchtiNo mNo mNo mNo mNo matchtchtchtchtchnNo mNo mNo mNo mNo matchtchtchtchtch,@tNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchti_f,acuario,2019-08-06T14:06:00+00:00,773,395,72838,28084,,,,,,,1,Woman,y cn ganas d vomitar URL,negative
185,185,1611821912937664512,@ClaudioVisillac Saben bien. Los mandan a la prensa a vomitar cualquier disparate,2023-01-07T20:27:44+00:00,es,twitter,WNo mNo mNo mNo mNo matchtchtchtchtchshington Fioritti,@totinumbersnumbersnumbersnumbers,"Me gustan la familia., los amigos y las actividades al aire libre.",2010-06-12T06:22:58+00:00,66,304,2178,292,Uruguay,UY,Punta del Este,Maldonado,,"-34.96667, -54.95",1,Woman,Saben bien. Los mandan a la prensa a vomitar cualquier disparate,negative
186,186,1611819654460080128,Vomito 🤢,2023-01-07T20:18:46+00:00,es,twitter,chini No mNo mNo mNo mNo matchtchtchtchtchrbi,@chiniNo mNo mNo mNo matchtchtchtchrbii,,2020-01-16T15:41:49+00:00,304,279,3187,24249,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,Vomito  EMOJI ,negative
187,187,1611807287080882178,@Juliana_RivSav Trata de no vomitar,2023-01-07T19:29:37+00:00,es,twitter,Lore🇫🇷,@loreeroccNo mNo mNo mNo matchtchtchtch,"Mis sobrinos y Nacional❤
📚FMed

Mi 🌙 eterna",2015-09-11T18:11:58+00:00,896,899,48564,40182,Uruguay,UY,Paysandú,Paysandú,,"-32.32139, -58.07556",2,Man,Trata de no vomitar,neutral
188,188,1611804162177515522,"Anoche invite a una amiga a cenar y a dormir en casa, como cuando éramos adolescentes, hice una sangria, nos matamos de risa, hoy me levante en un solo vomito, mi vieja mula ya no es lo q era…",2023-01-07T19:17:12+00:00,es,twitter,xq? no hNo mNo mNo mNo mNo matchtchtchtchtchy xq 🇺🇾🇦🇷,@cNo mNo mNo mNo matchtchtchtchrmelitNo mNo mNo mNo matchtchtchtch_uy,hierba mala es resistente 🫠,2010-12-15T21:21:41+00:00,185,1264,4836,22757,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,"Anoche invite a una amiga a cenar y a dormir en casa, como cuando éramos adolescentes, hice una sangria, nos matamos de risa, hoy me levante en un solo vomito, mi vieja mula ya no es lo q era…",negative
189,189,1611800859116969985,"@rafalozz COMO QUE CAPRICORNIO, vomito",2023-01-07T19:04:05+00:00,es,twitter,nNo mNo mNo mNo mNo matchtchtchtchtchdu🌸,@nnumbersdu_,🛰🛰🛰🛰🛰,2021-03-06T02:29:32+00:00,52,118,655,1158,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"como que capricornio, vomito",negative
190,190,1611775429483929600,No quiero vomitar más,2023-01-07T17:23:02+00:00,es,twitter,🖤negrNo mNo mNo mNo mNo matchtchtchtchtch,@CNo mNo mNo mNo matchtchtchtchrrNo mNo mNo mNo matchtchtchtchscoTnNo mNo mNo mNo matchtchtchtchti,"Enero, 1997",2013-04-27T16:28:55+00:00,1814,682,51149,20152,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,No quiero vomitar más,negative
191,191,1611765793611730944,Ayy dios!  me dio azco está situación pero posta me dieron náuseas. Lucila la puta que te parió y nadie le dice nada porque es mujer pero si la situación fuera al revés mínimo dirían que Nacho es un violador. 🤢🤬 200 veces dijo que no el pibe . https://t.co/ukqTxdYFtf,2023-01-07T16:44:45+00:00,es,twitter,✨ Anto MoreirNo mNo mNo mNo mNo matchtchtchtchtch✨ 🇺🇾,@Antto_MoreirNo mNo mNo mNo matchtchtchtch_,"Ni soy un libro abierto ni quien tu te imaginas... 🌓
Mamá de Pablito 💕
Acuariana ♒ 
Hetero pero no mucho 🌈
#rubelangel 🧡 &  #nachiago 🤍",2010-07-13T13:07:30+00:00,307,428,3704,11632,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",2,Man,Ayy dios!  me dio azco está situación pero posta me dieron náuseas. Lucila la puta que te parió y nadie le dice nada porque es mujer pero si la situación fuera al revés mínimo dirían que Nacho es un violador.  EMOJI  NUM veces dijo que no el pibe . URL,negative
192,192,1611751215850786830,que ganas d vomitar tengo,2023-01-07T15:46:49+00:00,es,twitter,𝐋𝐮𝐜𝐢No mNo mNo mNo mNo matchtchtchtchtch🇳🇱,@LBLSnumbersnumbers,,2016-03-17T23:38:52+00:00,1977,603,25446,31200,,,,,,,1,Woman,que ganas d vomitar tengo,negative
193,193,1611743864783622145,"Desayuné y me dierom ganas de vomitar ¿?? Cuanta paz, no se puede ni comer tranquila",2023-01-07T15:17:36+00:00,es,twitter,AgustinNo mNo mNo mNo mNo matchtchtchtchtch ⭐⭐⭐,@Bisicchinumbers,25. Enfermera. Sin rumbo pero hay que seguir,2021-02-14T13:54:33+00:00,77,178,3098,59671,Uruguay,UY,José Pedro Varela,Lavalleja,,"-33.45, -54.53333",2,Man,"Desayuné y me dierom ganas de vomitar ¿? Cuanta paz, no se puede ni comer tranquila",positive
194,194,1611737644639076352,"Vomite y hice pis en la ropa, luego me acosté a dormir Jjajajjja",2023-01-07T14:52:53+00:00,es,twitter,Luli🌸,@ludmidNo mNo mNo mNo matchtchtchtchsilvNo mNo mNo mNo matchtchtchtchnumbers,hola que se te ofrece chusmear por acá?                            🇺🇾🇪🇸,2014-06-08T23:58:33+00:00,1493,1397,30455,20960,Spain,ES,,,,"40.0, -4.0",2,Man,"Vomite y hice pis en la ropa, luego me acosté a dormir Jjajajjja",negative
195,195,1611734446826475520,Hace como 1 semana estoy con estas ganas de vomitar y re mal del estomago 🤮😑,2023-01-07T14:40:11+00:00,es,twitter,SofiiNo mNo mNo mNo mNo matchtchtchtchtchNo mNo mNo mNo mNo matchtchtchtchtch,@sofffii_numbersnumbers,NACIONAL,2021-12-16T18:51:00+00:00,510,304,9354,7682,Uruguay,UY,Salto,Salto,,"-31.38333, -57.96667",1,Woman,Hace como NUM semana estoy con estas ganas de vomitar y re mal del estomago  EMOJI ,negative
196,196,1611731046487162882,@diegojaraa Hermano veni a despedirte por que hoy me voy con el diego y la tota estoy a puro vomito,2023-01-07T14:26:40+00:00,es,twitter,FNo mNo mNo mNo mNo matchtchtchtchtchcundo,@MussifNo mNo mNo mNo matchtchtchtch_,,2014-12-08T04:44:33+00:00,650,287,48405,26889,Uruguay,UY,San José de Mayo,San José,,"-34.3375, -56.71361",1,Woman,Hermano veni a despedirte por que hoy me voy con el diego y la tota estoy a puro vomito,negative
197,197,1611723200970330112,"Me estoy muriendo de las náuseas que manejo, muy mala idea tomar gente",2023-01-07T13:55:30+00:00,es,twitter,ReginNo mNo mNo mNo mNo matchtchtchtchtch💄,@wnumbersndnumbersrwNo mNo mNo mNo matchtchtchtchnumbersnumbersnumbersnumbers,a la izquierda late el corazón❤️,2012-12-31T19:46:31+00:00,7043,803,44731,29161,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"Me estoy muriendo de las náuseas que manejo, muy mala idea tomar gente",negative
198,198,1611716652038557698,"La diarrea verbal de los políticos deja frases gloriosas. Por ejemplo esta, del que se le cayó el puente:

""La figura de Lacalle dejó la vara alta... a cualquier candidato lo van a comparar, que si comió o no un pancho en La Pasiva..."". https://t.co/3ASxZjbxXW",2023-01-07T13:29:28+00:00,es,twitter,Jose Pedro UrrNo mNo mNo mNo mNo matchtchtchtchtchburu,@urrNo mNo mNo mNo matchtchtchtchburu,"Es lo más difícil del mundo mantener una opinión disidente individual, como miembro de un grupo.
Doris Lessing",2008-10-30T17:35:30+00:00,6101,3805,182664,13387,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"La diarrea verbal de los políticos deja frases gloriosas. Por ejemplo esta, del que se le cayó el puente:  ""La figura de Lacalle dejó la vara alta. a cualquier candidato lo van a comparar, que si comió o no un pancho en La Pasiva."". URL",negative
199,199,1611687961397002243,"Mi tio se empedó y vomitó, según el le cayó mal el xis🤣",2023-01-07T11:35:28+00:00,es,twitter,GiovNo mNo mNo mNo mNo matchtchtchtchtchnNo mNo mNo mNo mNo matchtchtchtchtch 🐜,@giovNo mNo mNo mNo matchtchtchtchnNo mNo mNo mNo matchtchtchtchhnumbersnumbers,🌄 🌺 || ♓Pisciana,2014-12-17T19:14:12+00:00,239,166,10489,41437,Uruguay,UY,Rivera,Rivera,,"-30.90534, -55.55076",1,Woman,"Mi tio se empedó y vomitó, según el le cayó mal el xis EMOJI ",negative
200,200,1611613774028410880,En breve vomito,2023-01-07T06:40:40+00:00,es,twitter,𝐦𝐢𝐥𝐞𝐧No mNo mNo mNo mNo matchtchtchtchtch,@mileebrNo mNo mNo mNo matchtchtchtchcco_,ig: bracco.milena,2021-12-19T13:26:03+00:00,355,257,15515,29677,Uruguay,UY,San Jacinto,Canelones,,"-34.55, -55.88333",1,Woman,En breve vomito,negative
201,201,1611610161746935808,una cerveza más y vomito,2023-01-07T06:26:19+00:00,es,twitter,romiisilvNo mNo mNo mNo mNo matchtchtchtchtchNo mNo mNo mNo mNo matchtchtchtchtch,@rominitNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchx,ig/roomisilvaa ꤀եɾმ ⱱꤕɾ⳽౹꤀́ᥒ ძꤕ ⰿ౹🤍,2020-03-26T22:55:49+00:00,128,142,5456,8722,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,una cerveza más y vomito,negative
202,202,1611600270768721920,Que ganas de vomitar que tengo,2023-01-07T05:47:01+00:00,es,twitter,𓆣𝓐𝓵𝓮𝓳No mNo mNo mNo mNo matchtchtchtchtch𝓷𝓭𝓻𝓸𓆣🇫🇷,@AlejNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchndroF,Hincha del Club Nacional de Football💙🤍❤️ // EDM // EAT SLEEP RAVE REPEAT,2012-08-05T20:10:01+00:00,2391,1519,37206,66306,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,Que ganas de vomitar que tengo,negative
203,203,1611595645684523012,Detesto demasiado el palo santo para lo mucho que amo Valizas; vomito,2023-01-07T05:28:38+00:00,es,twitter,HijNo mNo mNo mNo mNo matchtchtchtchtch del Fletero,@hijNo mNo mNo mNo matchtchtchtchdelF,"Mi papá es fletero de verdad pero no estoy segura de que la canción sea para mi. Linda infinita soy, pero en Madrid nunca estuve.",2014-02-14T23:38:47+00:00,7553,1418,105289,114767,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Detesto demasiado el palo santo para lo mucho que amo Valizas; vomito,negative
204,204,1611593413471649796,"uff voy a vomitar del hambre, ns pq no cene, no les pasa q cuando están tristes se les cierra el estómago?",2023-01-07T05:19:46+00:00,es,twitter,🇺🇾 nNo mNo mNo mNo mNo matchtchtchtchtchtu | 🪐,@winxxliNo mNo mNo mNo matchtchtchtch,✦ :: ʙᴛs ✶ ᴀᴛᴇᴇᴢ ✶ ᴛʙᴢ ✶ ᴇɴʜᴀ ✶ ʟᴇssᴇʀᴀ. :: ✦,2020-12-01T12:59:02+00:00,106,184,9813,8755,,,,,,,1,Woman,"uff voy a vomitar del hambre, ns pq no cene, no les pasa q cuando están tristes se les cierra el estómago?",negative
205,205,1611583886919888897,"De la nada me vinieron ganas de vomitar, this is somatizar enojo y tristeza?",2023-01-07T04:41:55+00:00,es,twitter,𝚂iL ❤️‍🔥 #numbersnumbersnumbersnumbersnumbers,@silberdunbNo mNo mNo mNo matchtchtchtchrizz,Pero que sería la vida sin pasiones?,2019-02-26T15:30:50+00:00,1152,807,104974,86779,Uruguay,UY,Colonia del Sacramento,Colonia,,"-34.46262, -57.83976",2,Man,"De la nada me vinieron ganas de vomitar, this is somatizar enojo y tristeza?",negative
206,206,1611570937153085440,@miguelc471 Diarrea.,2023-01-07T03:50:27+00:00,es,twitter,AlvNo mNo mNo mNo mNo matchtchtchtchtchro AlmeidNo mNo mNo mNo mNo matchtchtchtchtch,@AlvNo mNo mNo mNo matchtchtchtchroAnumbersnumbersnumbersnumbersnumbersnumbersnumbersnumbers,Puedo ir a más de 300 km/h sin pagar multa ...,2018-10-31T18:47:04+00:00,2307,934,72619,81832,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Diarrea.,negative
207,207,1611570099697106945,@lucamottin22 @akaburki @BrahianBa yo tengo 18 tripa ajajjaaja,2023-01-07T03:47:07+00:00,es,twitter,frNo mNo mNo mNo mNo matchtchtchtchtchnolNo mNo mNo mNo mNo matchtchtchtchtch²²,@frNo mNo mNo mNo matchtchtchtchnolNo mNo mNo mNo matchtchtchtchvNo mNo mNo mNo matchtchtchtchNo mNo mNo mNo matchtchtchtchrriNo mNo mNo mNo matchtchtchtch,"⁰³ ⁰⁶ ¹⁸⁸⁷
gimnasia y esgrima la plata",2019-12-16T02:42:24+00:00,239,162,9311,15153,Uruguay,UY,Carmelo,Colonia,,"-33.98917, -58.28556",1,Woman,yo tengo NUM tripa ajajjaaja,neutral
208,208,1611569778296078336,@Invertebrado88 Tengo ganas de vomitar con vos 🤣😂,2023-01-07T03:45:51+00:00,es,twitter,TiziNo mNo mNo mNo mNo matchtchtchtchtchnNo mNo mNo mNo mNo matchtchtchtchtch Nieves,@NievesTiziNo mNo mNo mNo matchtchtchtchnNo mNo mNo mNo matchtchtchtch,"tizii✌️
en la mía por q en la tuya me atraso 😘
mejor sola que mal acompañada 🥴",2022-09-21T19:02:20+00:00,47,43,140,42,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,Tengo ganas de vomitar con vos  EMOJI ,negative
209,209,1611542621239021569,"Qué disparate!
No sé si llamarlo tsunami o diarrea de contrataciones.
#estatismo + #burocracia = #desempleo #pobreza https://t.co/Uej4PeiEYK",2023-01-07T01:57:56+00:00,es,twitter,Jose Pedro UrrNo mNo mNo mNo mNo matchtchtchtchtchburu,@urrNo mNo mNo mNo matchtchtchtchburu,"Es lo más difícil del mundo mantener una opinión disidente individual, como miembro de un grupo.
Doris Lessing",2008-10-30T17:35:30+00:00,6101,3805,182664,13387,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,Qué disparate! No sé si llamarlo tsunami o diarrea de contrataciones. estatismo + burocracia = desempleo pobreza URL,negative
210,210,1611541223411519488,"Tercer día de Rufina con fiebre y vomito, se me estruja el ama verla así.🥺😭",2023-01-07T01:52:23+00:00,es,twitter,𝔸𝕕𝕣𝕚 𝕊No mNo mNo mNo mNo matchtchtchtchtch𝕟𝕥𝕠𝕤🌴 ,@PisciNo mNo mNo mNo matchtchtchtchnNo mNo mNo mNo matchtchtchtchAs,"Rᴜғɪɴᴀ ❤︎
𝑆𝑖𝑛 𝑝𝑟𝑖𝑠𝑎, 𝑝𝑒𝑟𝑜 𝑠𝑖𝑛 𝑝𝑎𝑢𝑠𝑎❁
ᵖⁱˢᶜⁱᵃⁿᵃ❣︎",2013-10-04T18:25:24+00:00,1029,928,16397,18988,Uruguay,UY,,Río Negro,,"-32.75, -57.33333",1,Woman,"Tercer día de Rufina con fiebre y vomito, se me estruja el ama verla así. EMOJI ",negative
211,211,1611540372332716034,"eructo y me vomito, palabrita",2023-01-07T01:49:00+00:00,es,twitter,MelissNo mNo mNo mNo mNo matchtchtchtchtch 🧞‍♀️,@melidelNo mNo mNo mNo matchtchtchtchllNo mNo mNo mNo matchtchtchtchnNo mNo mNo mNo matchtchtchtch,cualquier parecido con la realidad es pura coincidencia,2015-02-19T16:54:51+00:00,1095,1171,18828,15630,Uruguay,UY,,,,"-33.0, -56.0",2,Man,"eructo y me vomito, palabrita",negative
212,212,1611538914925322240,"Me lo imagino despues del 8vo. whisky al borracho, mirando el vomito y diciendo a si mismo....que ""EXITOSO QUE SOY"" https://t.co/pFQ3Omzjsc",2023-01-07T01:43:12+00:00,es,twitter,Lic. Adolfo Greco🌐,@AdolfoGreco,"Montevideano y frenteamplista, #CadenaDeZurdos. Las nubes pasan y el rojo azul y blanco por siempre.",2020-03-09T20:33:06+00:00,1987,2149,9117,22791,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,"Me lo imagino despues del 8vo. whisky al borracho, mirando el vomito y diciendo a si mismo.que ""exitoso que soy"" URL",positive
213,213,1611505097611018244,"detesto tener migraña por favor lo mal que me hace sentir, hasta nauseas me dan 😭😭",2023-01-06T23:28:50+00:00,es,twitter,PNo mNo mNo mNo mNo matchtchtchtchtchulNo mNo mNo mNo mNo matchtchtchtchtch,@pdNo mNo mNo mNo matchtchtchtchsilvNo mNo mNo mNo matchtchtchtch__,""" 𝘚𝘦𝘨𝘶𝘪𝘮𝘰𝘴 𝘨𝘰𝘭𝘱𝘦𝘢𝘯𝘥𝘰 𝘱𝘶𝘦𝘳𝘵𝘢𝘴. 𝘈𝘶𝘯𝘲𝘶𝘦 𝘦𝘴𝘵é𝘯 𝘤𝘦𝘳𝘳𝘢𝘥𝘢𝘴. """,2021-09-25T02:42:30+00:00,558,273,11096,12774,,,,,,,1,Woman,"detesto tener migraña por favor lo mal que me hace sentir, hasta nauseas me dan  EMOJI ",negative
214,214,1611498043097874434,"hace días no como y he vomitado como 8 veces, creo que es el momento de volver a terapia 🙃",2023-01-06T23:00:48+00:00,es,twitter,cNo mNo mNo mNo mNo matchtchtchtchtchnde🥀,@cNo mNo mNo mNo matchtchtchtchndeenumbersnumbersnumbersnumbers,💜justin bieber💜 fvet. 🐾❤️ 'nosotros no estamos a la izquierda ni a la derecha de nadie. nosotros somos los blancos'🇺🇾 ig: cande_cabrera17,2019-12-18T22:14:29+00:00,232,235,4888,14864,,,,,,,1,Woman,"hace días no como y he vomitado como NUM veces, creo que es el momento de volver a terapia  EMOJI ",negative
215,215,1611494933604728832,"@ElRickOrtiz Yo bebo hasta perder la conciencia y me vomito encima, no le caigo a palos a mi novio...",2023-01-06T22:48:26+00:00,es,twitter,𝓐𝓷𝓭𝓻𝓮𝓲𝓷No mNo mNo mNo mNo matchtchtchtchtch,@Andrecrits,𝐼𝑓 𝐼 𝑤𝑎𝑠𝑛’𝑡 𝑖𝑚𝑝𝑜𝑟𝑡𝑎𝑛𝑡 𝑡ℎ𝑒𝑛 𝑤ℎ𝑦 𝑤𝑜𝑢𝑙𝑑 𝑦𝑜𝑢 𝑤𝑎𝑠𝑡𝑒 𝑎𝑙𝑙 𝑦𝑜𝑢𝑟 𝑝𝑜𝑖𝑠𝑜𝑛?  ♥❤️🧡💛💚💙💜💖,2009-11-25T11:19:38+00:00,636,578,18514,19161,Uruguay,UY,Salto,Salto,,"-31.38333, -57.96667",1,Woman,"Yo bebo hasta perder la conciencia y me vomito encima, no le caigo a palos a mi novio.",negative
216,216,1611487712548212761,@El_Viejo_Pablo Un vómito clasista.,2023-01-06T22:19:45+00:00,es,twitter,Primus rNo mNo mNo mNo mNo matchtchtchtchtchbbit,@primus_runner,La cultura de la cancelación es aberrante. Bloquear es de cobarde.,2017-06-04T19:31:13+00:00,272,613,9294,38157,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",0,Org,Un vómito clasista.,negative
217,217,1611481689439588368,"Yo no puedo más con esta salud poronga que manejo, me mareo por todo, tengo náuseas y ando hinchada 
Si no fuese porque no cojo hace casi 1 año estaría aterrada pero como no es así pues solo irritada",2023-01-06T21:55:49+00:00,es,twitter,Michi,@mimNo mNo mNo mNo matchtchtchtchrof,,2014-02-26T02:12:51+00:00,453,413,15071,6110,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"Yo no puedo más con esta salud poronga que manejo, me mareo por todo, tengo náuseas y ando hinchada  Si no fuese porque no cojo hace casi NUM año estaría aterrada pero como no es así pues solo irritada",negative
218,218,1611479580598206464,Casi vomito después de correr en la cinta 😎,2023-01-06T21:47:26+00:00,es,twitter,MNo mNo mNo mNo mNo matchtchtchtchtchrcos Rodeiro,@mNo mNo mNo mNo matchtchtchtchrcos_rodeiro_,Marcos 16y 🇦🇷,2022-03-14T17:50:16+00:00,42,65,307,519,Uruguay,UY,Belén,Salto,,"-30.78333, -57.78333",1,Woman,Casi vomito después de correr en la cinta  EMOJI ,negative
219,219,1611475092520980480,tomando coquita para sobrevivir pq lo que como lo vomito,2023-01-06T21:29:36+00:00,es,twitter,mel🏹,@MelNo mNo mNo mNo matchtchtchtchny_Buenonumbersnumbers,Quien es neutral ante una situación de injusticia está del lado del opresor.,2017-09-12T00:25:07+00:00,376,401,20246,48515,Uruguay,UY,Juan L. Lacaze,Colonia,,"-34.43333, -57.41667",1,Woman,tomando coquita para sobrevivir pq lo que como lo vomito,neutral
220,220,1611460418626527241,desde el martes no puedo comer sin vomitar muy bueno entre esto y la cirugía en 10 días llego a brasil siendo una skinny legend,2023-01-06T20:31:17+00:00,es,twitter,V ✨,@fromoutersspNo mNo mNo mNo matchtchtchtchce,michael scott stan account,2011-12-20T01:46:59+00:00,534,319,32926,32362,Uruguay,UY,Colonia del Sacramento,Colonia,,"-34.46262, -57.83976",2,Man,desde el martes no puedo comer sin vomitar muy bueno entre esto y la cirugía en NUM días llego a brasil siendo una skinny legend,positive
221,221,1611459752025792531,Ojalá que todos los hijos de puta que traen parlantes a la playa tengan diarrea por quince días,2023-01-06T20:28:39+00:00,es,twitter,dro,@dronumbersnumbersnumbers,Be kind | Cine y literatura | Gatos | Running | 💙🤍❤️,2012-08-01T02:08:16+00:00,404,801,17069,92851,Uruguay,UY,,,,"-33.0, -56.0",1,Woman,Ojalá que todos los hijos de puta que traen parlantes a la playa tengan diarrea por quince días,negative
222,222,1611430294082490374,"Si andan por las costas de Rocha no junten berberechos para comer a la provenzal que les puede dar una diarrea que hace tres días me tiene cagando chirlo. Igual estaban ricos, no me arrepiento.",2023-01-06T18:31:35+00:00,es,twitter,Snumbersnumbers,@scNo mNo mNo mNo matchtchtchtchtorce,,2009-12-23T18:19:20+00:00,12962,726,104542,66950,Uruguay,UY,Montevideo,Montevideo,,"-34.83346, -56.16735",1,Woman,"Si andan por las costas de Rocha no junten berberechos para comer a la provenzal que les puede dar una diarrea que hace tres días me tiene cagando chirlo. Igual estaban ricos, no me arrepiento.",negative
223,223,1611423250659024896,No hay nada peor que las náuseas por dios con lo que amo comer maldita sea,2023-01-06T18:03:36+00:00,es,twitter,MicNo mNo mNo mNo mNo matchtchtchtchtchNo mNo mNo mNo mNo matchtchtchtchtchNo mNo mNo mNo mNo matchtchtchtchtchNo mNo mNo mNo mNo matchtchtchtchtch,@PennylNo mNo mNo mNo matchtchtchtchneenumbers,"📸: micabritez_99
▪Una Honey , por favor.",2018-07-28T03:58:28+00:00,49,283,2844,7964,Uruguay,UY,José Pedro Varela,Lavalleja,,"-33.45, -54.53333",2,Man,No hay nada peor que las náuseas por dios con lo que amo comer maldita sea,positive
224,224,1611415231766347795,Será normal pasar con náuseas y mareos todo el tiempo? 😐,2023-01-06T17:31:44+00:00,es,twitter,DNo mNo mNo mNo mNo matchtchtchtchtchi GulNo mNo mNo mNo mNo matchtchtchtchtchrte✨,@DNo mNo mNo mNo matchtchtchtchiNo mNo mNo mNo matchtchtchtchGulNo mNo mNo mNo matchtchtchtchrtenumbers,"• 24 𝒶𝓊𝓉𝓊𝓂𝓃𝓈✨ • 𝒜𝓇𝒾𝑒𝓈 ♈️❤️‍🔥 • 𝒞.𝒩.𝒹𝑒𝐹. ❤️🤍💙 • 𝑀𝑒𝓁𝑜, 𝒰𝓇𝓊𝑔𝓊𝒶𝓎 🏠📍🇺🇾",2014-05-14T02:12:42+00:00,238,476,3240,5095,Uruguay,UY,Melo,Cerro Largo,,"-32.36667, -54.18333",2,Man,Será normal pasar con náuseas y mareos todo el tiempo?  EMOJI ,negative
